DATE,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG,MOM
19670103,0.0187,0.0778,0.4944,0.1437,-0.7118,-0.8563,-2.19
19670104,0.0187,0.1667,-0.3487,-0.0631,-0.2044,-0.0295,-0.82
19670105,0.0187,1.299,0.4412,-0.5688,0.0838,-0.3075,-1.43
19670106,0.0187,0.723,0.6669,0.8897,0.3603,0.2669,-0.67
19670109,0.0187,0.8439,0.6315,0.0331,0.4949,0.2979,-0.61
19670110,0.0187,-0.0013,0.3054,0.3344,-0.0316,0.14,0.02
19670111,0.0187,0.8376,0.1066,-0.0901,-0.0027,0.2732,-0.18
19670112,0.0187,0.5415,0.4182,-0.1139,0.0544,-0.0607,-0.07
19670113,0.0187,0.6773,-0.0878,-0.548,0.2194,0.1631,0.52
19670116,0.0187,-0.1841,0.0814,-0.5307,-0.0859,-0.4725,-0.56
19670117,0.0187,1.1292,0.0639,-0.4694,0.2784,0.0256,-0.27
19670118,0.0187,0.5212,0.0216,0.0325,-0.3136,-0.2179,-0.47
19670119,0.0187,0.0407,0.3737,-0.4572,-0.2741,-0.5023,0.01
19670120,0.0187,0.3698,0.6804,-0.1403,0.7751,0.0445,-0.12
19670123,0.0187,0.3369,0.6536,-0.4579,0.5756,0.0631,-0.36
19670124,0.0187,0.2003,0.0182,-0.2055,0.2382,0.1733,0.34
19670125,0.0187,-0.6853,0.5356,-0.3923,-0.123,-0.3038,0.2
19670126,0.0187,0.0261,0.4082,-0.2791,0.5221,0.3418,0.52
19670127,0.0187,0.4771,0.1176,-0.203,0.0732,-0.4188,-0.18
19670130,0.0187,0.5615,0.3028,0.3565,0.0983,-0.1678,-0.16
19670131,0.0187,-0.0798,0.2821,0.0936,-0.2838,-0.3168,-0.28
19670201,0.0197,-0.1556,-0.0753,-0.5199,-0.2333,-0.1678,0.04
19670202,0.0197,0.3344,0.1392,0.2145,0.3605,-0.0729,0.22
19670203,0.0197,0.7047,0.2687,0.4416,0.339,0.6651,-0.09
19670206,0.0197,-0.1534,-0.0903,-0.0538,-0.2769,-0.1875,-0.09
19670207,0.0197,-0.184,0.2608,0.1764,0.219,0.1989,0.17
19670208,0.0197,0.8757,0.0329,-0.2701,0.0125,0.0828,-0.03
19670209,0.0197,-0.3935,-0.2716,0.1345,0.504,0.8473,-0.01
19670210,0.0197,0.2533,0.1047,-0.1488,0.2366,0.0899,-0.09
19670213,0.0197,0.1353,0.5592,0.0905,-0.1823,-0.1784,-0.08
19670214,0.0197,0.7307,0.1608,-0.2896,0.3201,0.2615,0.29
19670215,0.0197,0.0523,-0.3318,-0.0246,0.1746,0.1028,-0.02
19670216,0.0197,-0.427,0.2572,0.2677,-0.6521,-0.1599,0.2
19670217,0.0197,0.0187,-0.1196,0.0414,0.2222,0.0258,0.44
19670220,0.0197,-0.5002,0.1681,0.0849,0.2744,0.392,0.49
19670221,0.0197,-0.0058,0.4206,-0.1201,0.5674,-0.1473,0.43
19670223,0.0197,0.1206,0.275,0.1143,0.6057,-0.1549,0.05
19670224,0.0197,0.0813,0.067,-0.2422,-0.032,-0.0451,0.27
19670227,0.0197,-1.1023,-0.175,0.1967,0.0138,0.0891,0.09
19670228,0.0197,0.3839,0.002,-0.315,1.044,0.5447,0.81
19670301,0.0168,0.9833,0.6087,-0.395,0.2973,-0.0181,0.11
19670302,0.0168,0.522,-0.2646,-0.1957,0.3588,-0.2331,0.07
19670303,0.0168,0.1598,0.0208,-0.222,0.0093,0.0243,0.23
19670306,0.0168,-0.127,0.3455,-0.0588,0.4049,-0.0442,0.22
19670307,0.0168,0.1607,0.2929,-0.5384,-0.0252,-0.2668,0.19
19670308,0.0168,0.1668,0.2125,-0.3145,0.6831,-0.1583,0.19
19670309,0.0168,0.2865,0.3092,-0.1472,0.3645,-0.0022,0.18
19670310,0.0168,0.3659,0.0581,-0.3303,-0.5073,0.019,-0.38
19670313,0.0168,-0.4831,0.0061,-0.0027,-0.1561,0.1669,-0.29
19670314,0.0168,-0.1069,-0.0719,-0.2297,-0.0868,-0.6715,-0.09
19670315,0.0168,0.8892,-0.4043,-0.7944,-0.3141,-0.3722,-0.1
19670316,0.0168,0.8992,-0.3413,0.0956,0.3036,-0.1112,-0.24
19670317,0.0168,0.132,0.0387,0.4459,0.1212,0.1452,-0.35
19670320,0.0168,-0.0121,0.1425,0.1232,0.3278,0.115,0.37
19670321,0.0168,-0.2839,0.3085,-0.2731,-0.3752,0.0562,-0.23
19670322,0.0168,0.2835,0.1921,0.3191,0.3853,-0.2042,0.24
19670323,0.0168,0.6821,-0.1503,0.1132,-0.0794,0.3468,0.12
19670327,0.0168,-0.0569,0.0192,0.1061,0.3526,0.2287,0.48
19670328,0.0168,0.0881,0.0805,-0.2951,-0.0243,0.2326,0.05
19670329,0.0168,-0.1349,0.3958,0.4241,-0.0507,0.0612,0.34
19670330,0.0168,0.041,0.1392,0.1968,0.185,-0.1038,0.54
19670331,0.0168,-0.5048,-0.0451,0.2651,-0.4442,-0.1914,-0.2
19670403,0.0167,-1.1309,-0.1149,0.569,-0.9769,-0.4541,-0.6
19670404,0.0167,0.0119,0.1842,-0.2668,-0.1807,-0.3018,0.08
19670405,0.0167,0.6296,-0.0121,-0.1242,-0.0493,0.1333,0.24
19670406,0.0167,0.2006,0.1843,-0.2721,0.2849,-0.1793,0.25
19670407,0.0167,-0.6176,-0.109,0.4336,-0.2934,0.2073,-0.07
19670410,0.0167,-1.2369,-0.5359,0.1607,-0.5673,0.1282,-0.38
19670411,0.0167,0.7105,0.1028,-0.4202,0.276,-0.0333,0.46
19670412,0.0167,-0.1055,0.1118,0.1723,0.0263,0.2395,0.22
19670413,0.0167,0.6491,-0.127,-0.6491,0.4489,-0.1016,0.45
19670414,0.0167,1.0043,-0.258,-0.5481,0.3462,-0.0048,0.25
19670417,0.0167,0.6385,-0.4523,-0.1872,-0.1274,-0.2477,-0.4
19670418,0.0167,0.8527,-0.0634,-0.0781,0.5105,0.1528,0.49
19670419,0.0167,0.1151,0.1214,-0.081,0.2806,0.208,-0.37
19670420,0.0167,0.1915,0.1918,-0.3337,-0.2866,0.0309,-0.12
19670421,0.0167,0.2566,0.3849,-0.2091,0.1113,-0.47,-0.21
19670424,0.0167,0.2701,-0.3436,-0.2072,0.374,0.1997,-0.17
19670425,0.0167,0.5534,-0.3633,-0.075,0.1018,-0.0571,-0.15
19670426,0.0167,-0.1147,0.1482,-0.0316,0.2377,-0.1062,-0.09
19670427,0.0167,0.8102,0.1123,-0.66,0.538,-0.6199,0.44
19670428,0.0167,0.1495,0.2374,-0.0014,-0.0648,-0.4112,-0.12
19670501,0.0142,-0.0733,0.3544,-0.2007,0.2865,0.1576,0.59
19670502,0.0142,-0.0193,0.4678,-0.4736,-0.0005,-0.346,0.33
19670503,0.0142,0.2858,0.4893,-0.1141,-0.0799,-0.3773,-0.12
19670504,0.0142,0.3332,-0.1418,0.0689,0.1885,-0.2322,-0.24
19670505,0.0142,0.1222,0.2323,0.7052,-0.1937,0.2803,-0.21
19670508,0.0142,0.2075,-0.1141,0.4012,-0.1569,0.1095,-0.4
19670509,0.0142,-1.0403,-0.3192,0.4844,-0.2277,0.5691,-0.58
19670510,0.0142,-0.1319,0.556,0.1544,-0.0345,-0.2176,0.48
19670511,0.0142,0.4864,0.3716,-0.4919,-0.0099,-0.7121,0.21
19670512,0.0142,-0.1978,0.4104,-0.3654,0.1177,-0.0944,0.44
19670515,0.0142,-0.7359,0.2377,0.6738,0.3002,-0.0476,-0.32
19670516,0.0142,0.4853,0.3966,0.0355,-0.0754,-0.5427,0.85
19670517,0.0142,-0.264,0.4793,-0.1071,-0.5211,-0.117,-0.03
19670518,0.0142,-0.1902,0.3805,0.361,-0.1087,-0.0074,0.24
19670519,0.0142,-0.4181,0.1412,0.2388,0.1011,-0.0199,0.05
19670522,0.0142,-0.3367,0.3695,-0.0734,-0.0647,0.0893,0.6
19670523,0.0142,-0.425,0.0869,-0.0561,0.2292,0.1585,-0.1
19670524,0.0142,-1.1966,-0.5315,0.3289,0.2025,0.8279,-0.41
19670525,0.0142,0.9941,-0.0957,0.0946,0.5685,0.0358,0.35
19670526,0.0142,-0.1097,-0.1042,0.0008,-0.1693,0.002,-0.15
19670529,0.0142,-0.4753,0.2331,0.165,0.1516,0.2226,-0.33
19670531,0.0142,-1.6627,-0.9206,0.7666,0.2271,0.3741,-1
19670601,0.0121,1.183,0.1108,-0.4284,-0.0967,-0.1876,0.67
19670602,0.0121,-0.4029,0.3711,0.3573,0.0593,-0.1016,0.11
19670605,0.0121,-1.6514,-1.237,0.6202,0.1717,0.1303,-1.21
19670606,0.0121,2.021,0.5814,-0.5641,0.1216,0.0401,1.56
19670607,0.0121,0.8542,0.4018,-0.5279,-0.1725,-0.3093,0.72
19670608,0.0121,0.5734,0.2971,-0.5308,0.1149,-0.3967,0.65
19670609,0.0121,0.2629,0.4159,-0.0233,0.001,0.2806,0.61
19670612,0.0121,0.6319,0.4871,-0.1813,0.7629,-0.105,0.47
19670613,0.0121,0.6023,0.1158,-0.2606,0.2301,-0.3094,0.26
19670614,0.0121,-0.1716,0.631,-0.6421,-0.0363,0.1683,0.52
19670615,0.0121,0.1711,0.556,-0.2573,-0.1435,0.3484,0.56
19670616,0.0121,0.0338,0.5057,0.0351,-0.165,0.163,0.18
19670619,0.0121,0.0336,0.4604,-0.2868,0.3671,-0.2328,0.34
19670620,0.0121,-0.0292,0.3307,-0.0492,-0.037,-0.0172,0.57
19670621,0.0121,-0.2521,0.3494,0.423,0.1577,0.2829,-0.09
19670622,0.0121,-0.2032,0.3535,-0.4314,-0.1163,0.044,0.19
19670623,0.0121,0.0705,0.422,0.3568,-0.0841,-0.3323,0.19
19670626,0.0121,-0.3994,-0.1887,0.1776,0.2016,0.0985,0.29
19670627,0.0121,-0.3399,0.4306,-0.0277,-0.1726,-0.2757,-0.29
19670628,0.0121,0.072,0.408,-0.2465,-0.336,0.0049,0.36
19670629,0.0121,-0.474,-0.0757,0.2382,0.0086,0.3001,-0.13
19670630,0.0121,-0.1406,0.2738,0.2182,-0.5415,-0.123,-0.19
19670703,0.0157,0.3529,0.257,-0.0798,0.1609,-0.0245,0.24
19670705,0.0157,0.5298,0.1793,-0.0722,0.6062,-0.3568,0.05
19670706,0.0157,-0.0634,0.0527,0.1434,0.1709,0.3759,-0.02
19670707,0.0157,0.4686,0.1168,-0.4405,0.0347,0.1372,0.23
19670710,0.0157,0.4547,0.2777,-0.2269,0.3612,-0.12,0.29
19670711,0.0157,0.4287,-0.031,0.4449,0.031,-0.1764,-0.02
19670712,0.0157,-0.0324,-0.0221,0.0798,-0.1111,0.0744,-0.16
19670713,0.0157,0.0599,0.2848,0.1064,-0.0039,-0.0848,0.01
19670714,0.0157,0.3684,0.7335,-0.1577,-0.5124,-0.3522,-0.22
19670717,0.0157,0.0733,0.414,0.2187,-0.2542,-0.1836,-0.12
19670718,0.0157,0.7054,-0.1529,0.6549,0.1153,-0.2493,-0.61
19670719,0.0157,0.0863,0.0832,0.6944,0.151,0.7184,-0.36
19670720,0.0157,0.1388,-0.0869,0.6643,-0.4222,-0.2712,-0.62
19670721,0.0157,0.0428,-0.2697,0.8355,0.0279,0.2226,-0.6
19670724,0.0157,-0.37,-0.2589,0.2167,-0.0954,0.211,-0.38
19670725,0.0157,0.0199,0.3575,-0.5174,-0.6467,0.0193,0.31
19670726,0.0157,0.4196,0.2251,-0.2031,-0.008,-0.103,0.51
19670727,0.0157,0.3429,0.0897,0.0677,0.3479,-0.0763,0.52
19670728,0.0157,0.1706,0.5458,-0.2649,-0.4486,0.0739,-0.03
19670731,0.0157,0.2846,0.0758,0.0691,-0.0966,0.0135,-0.26
19670801,0.0141,0.6211,-0.2688,0.105,-0.4153,-0.1573,-0.11
19670802,0.0141,0.337,-0.5624,0.1776,0.112,-0.5316,-0.6
19670803,0.0141,-0.1771,-0.0958,0.0319,0.1815,0.0505,-0.03
19670804,0.0141,0.2577,0.4026,-0.3802,-0.2804,-0.131,0.22
19670807,0.0141,-0.16,0.2019,0.0096,-0.0208,0.0562,-0.19
19670808,0.0141,0.0892,-0.1098,0.2958,-0.1263,0.0787,-0.01
19670809,0.0141,0.1066,-0.1285,0.2389,-0.142,-0.1487,-0.07
19670810,0.0141,-0.2659,0.0025,0.5575,0.0395,0.241,-0.53
19670811,0.0141,-0.4753,-0.0927,0.3126,0.1377,0.219,-0.55
19670814,0.0141,-0.4958,-0.1962,0.445,0.374,-0.0313,-0.52
19670815,0.0141,0.1045,0.0259,0.0616,-0.2149,0.2108,-0.09
19670816,0.0141,-0.247,-0.0192,-0.2236,-0.252,0.3864,-0.15
19670817,0.0141,0.1247,0.1803,0.357,0.0067,-0.071,0.05
19670818,0.0141,0.1659,0.3019,0.1934,-0.0455,0.048,0.24
19670821,0.0141,-0.4975,0.1421,-0.039,-0.0896,-0.156,-0.37
19670822,0.0141,-0.5429,-0.0084,0.1002,0.0472,0.0442,-0.11
19670823,0.0141,-0.1036,-0.1257,-0.4795,-0.1161,0.2235,0.26
19670824,0.0141,-0.5232,0.3472,0.4699,0.0102,-0.0439,-0.32
19670825,0.0141,-0.4229,-0.1851,-0.0899,0.1669,-0.0509,-0.5
19670828,0.0141,0.0296,0.1863,0.1077,0.013,0.1878,0.24
19670829,0.0141,0.2505,-0.1306,0.067,0.0046,-0.174,0.52
19670830,0.0141,0.2834,0.3981,-0.421,0.1256,-0.0197,0.43
19670831,0.0141,0.6444,0.0404,-0.1157,-0.1406,-0.1461,0.76
19670901,0.0159,0.1492,0.419,-0.3748,-0.2517,0.2439,0.63
19670905,0.0159,0.533,-0.1224,0.2219,0.1949,-0.1345,0.23
19670906,0.0159,0.1711,0.147,0.0888,0.0397,0.0796,0.19
19670907,0.0159,-0.0586,-0.0533,-0.0611,-0.1265,-0.0155,-0.06
19670908,0.0159,0.0121,0.4085,0.1326,0.0461,-0.0454,0.22
19670911,0.0159,0.1532,0.1134,-0.0916,0.2349,-0.1707,0.16
19670912,0.0159,0.4941,-0.0579,-0.3634,-0.2682,-0.4837,0.09
19670913,0.0159,0.9705,-0.1747,0.2385,-0.264,-0.1354,-0.59
19670914,0.0159,0.1411,0.1366,0.6083,0.2213,-0.0665,-0.44
19670915,0.0159,0.0595,0.0473,0.5845,0.1442,-0.2403,0.05
19670918,0.0159,0.2573,0.1466,0.2695,0.1724,-0.2085,-0.19
19670919,0.0159,-0.4444,-0.2557,-0.0709,0.236,0.2366,-0.07
19670920,0.0159,0.0514,0.6554,0.0936,-0.5027,0.1297,0.28
19670921,0.0159,0.5619,-0.3343,-0.7229,0.2867,0.14,1.17
19670922,0.0159,0.2825,0.2999,0.0988,-0.0044,0.1266,0.65
19670925,0.0159,0.4805,-0.5455,-0.0272,0.5,-0.1967,-0.09
19670926,0.0159,-0.869,0.1127,-0.1434,0.0769,0.5055,-0.46
19670927,0.0159,0.056,0.2333,-0.3229,-0.0611,-0.3873,0.28
19670928,0.0159,0.0748,0.1161,-0.2526,0.3799,-0.0173,0.29
19670929,0.0159,-0.0051,0.372,-0.2107,-0.3942,-0.0145,0.52
19671002,0.0166,-0.394,0.103,-0.0074,-0.0312,0.0676,-0.08
19671003,0.0166,0.3205,0.1616,-0.0152,0.2652,-0.2162,0.08
19671004,0.0166,-0.1285,0.3643,-0.352,0.0511,-0.1423,0.03
19671005,0.0166,0.2058,0.0921,-0.3529,0.2146,-0.1361,0.34
19671006,0.0166,0.5711,0.0491,-0.4141,0.1751,0.1748,0.8
19671009,0.0166,0.2041,0.3019,-0.1823,-0.3748,0.2223,0.02
19671010,0.0166,-0.7263,0.0893,0.0244,-0.3663,0.4675,-0.74
19671011,0.0166,-0.4514,-0.0758,0.0005,0.2607,-0.0417,-0.23
19671012,0.0166,-0.6105,0.2719,0.0944,0.3447,-0.0853,-0.33
19671013,0.0166,0.2165,0.3789,0.2321,0.3863,-0.0987,0.21
19671016,0.0166,-0.8087,-0.234,0.117,0.1446,-0.0281,-0.09
19671017,0.0166,-0.1847,0.2538,-0.0247,0.2519,0.0499,0.63
19671018,0.0166,0.2385,-0.1988,-0.4452,-0.1405,-0.4285,0.49
19671019,0.0166,0.0915,-0.3758,-0.2622,0.7631,0.0514,0.1
19671020,0.0166,-0.1132,-0.366,0.1784,0.3747,-0.1693,0.23
19671023,0.0166,-0.4783,-0.016,-0.0867,0.1503,-0.1633,-0.42
19671024,0.0166,-0.5681,-0.1339,-0.1124,0.14,0.3339,-0.12
19671025,0.0166,0.1445,-0.1399,-0.1671,0.3418,-0.1303,0.76
19671026,0.0166,0.4334,0.1791,-0.6469,0.2977,-0.3378,0.96
19671027,0.0166,0.0159,-0.0053,-0.2573,-0.0839,0.3469,0.01
19671030,0.0166,-0.1617,0.1702,0.1307,0.2311,-0.0109,0.45
19671031,0.0166,-0.8904,-0.0394,0.1358,-0.0759,0.406,-0.66
19671101,0.0171,-1.2186,0.2563,-0.399,-0.5965,-0.1265,-0.25
19671102,0.0171,-0.4912,-0.3023,0.225,-0.2935,-0.0177,-0.48
19671103,0.0171,-0.483,0.555,-0.2657,0.2521,0.0042,-0.03
19671106,0.0171,-0.3123,-0.0899,-0.4137,0.1857,-0.1296,-0.09
19671108,0.0171,-0.3809,0.1166,0.2251,0.3107,0.0555,-0.56
19671109,0.0171,0.4153,-0.4688,-0.0435,0.1733,0.1051,0.16
19671110,0.0171,0.5846,-0.2124,0.3982,0.274,0.4556,0.35
19671113,0.0171,-0.308,-0.5638,-0.248,-0.8185,-0.1141,-0.89
19671114,0.0171,-0.7265,-0.6609,0.2294,-0.5891,0.0146,-1.31
19671115,0.0171,0.4156,-0.5237,-0.1552,0.4632,-0.1023,0.51
19671116,0.0171,0.947,0.2845,-0.7539,0.6761,-0.0651,1.19
19671117,0.0171,0.3484,0.3556,-0.6992,0.1154,-0.026,0.9
19671120,0.0171,-1.3936,-0.6384,0.0526,-0.3269,-0.0026,-1.43
19671121,0.0171,1.7087,0.7866,-1.017,0.411,-0.119,2.22
19671122,0.0171,0.6565,0.3515,0.2155,0.3439,0.0389,0.41
19671124,0.0171,0.2142,-0.0779,-0.1497,-0.0431,0.0355,0.06
19671127,0.0171,0.3497,0.1556,-0.3168,0.3183,0.2282,0.32
19671128,0.0171,0.5064,0.0675,0.09,-0.2833,-0.1491,0.44
19671129,0.0171,0.0568,0.5919,0.1452,0.0852,-0.086,0.06
19671130,0.0171,-0.4488,0.1859,0.0679,0.1713,0.222,0.13
19671201,0.0178,0.5383,0.413,0.0866,0.3471,0.1771,1.08
19671204,0.0178,0.6327,0.6639,-0.1146,0.8451,0.3889,1.2
19671205,0.0178,0.1051,-0.4166,0.2777,0.1604,0.1528,-0.22
19671206,0.0178,0.3563,-0.1626,-0.414,0.3282,0.1725,0.46
19671207,0.0178,-0.0938,0.2215,-0.1194,-0.1477,0.1771,0.15
19671208,0.0178,-0.0903,0.3187,-0.1076,0.0763,-0.1617,0.62
19671211,0.0178,-0.1709,0.7743,-0.3466,-0.0762,0.1697,0.64
19671212,0.0178,-0.0126,0.4189,-0.5816,-0.0052,-0.3294,0.17
19671213,0.0178,0.4271,0.1307,0.0968,0.4042,-0.0118,0.2
19671214,0.0178,0.1627,0.5359,-0.1075,-0.3152,0.0041,0.01
19671215,0.0178,-0.574,-0.1071,0.6594,-0.4483,0.2755,-0.83
19671218,0.0178,-0.2881,0.2875,0.4851,0.2921,0.0402,-0.8
19671219,0.0178,-0.1031,0.1119,-0.3082,-0.1107,-0.2155,0.12
19671220,0.0178,0.5687,0.0505,0.3728,0.2318,-0.0168,0.43
19671221,0.0178,0.2429,0.297,0.2767,-0.0016,0.4663,-0.06
19671222,0.0178,-0.1227,0.3987,0.6508,-0.0435,0.2839,-0.2
19671226,0.0178,0.1483,0.3901,0.323,-0.0285,0.116,-0.04
19671227,0.0178,0.6715,0.1041,-0.1629,0.1227,-0.0519,0.09
19671228,0.0178,-0.0478,-0.0964,-0.4349,-0.9198,-0.3715,-0.38
19671229,0.0178,0.6385,0.036,-0.2599,0.0519,0.2221,0.26
19680102,0.0178,-0.2548,0.7062,1.2278,-0.7673,0.0993,-1.31
19680103,0.0178,-0.5585,0.161,0.8074,-0.4898,0.2768,-1.58
19680104,0.0178,-0.2968,0.2216,0.2854,-0.7305,-0.5026,-1.12
19680105,0.0178,0.6362,0.7019,0.7223,-0.5259,0.173,-0.42
19680108,0.0178,0.696,0.1692,0.3834,-0.326,0.0796,-0.76
19680109,0.0178,-0.1518,-0.0006,-0.0117,0.0342,-0.1167,-0.2
19680110,0.0178,0.1458,0.4275,-0.3917,0.3298,-0.1239,0.72
19680111,0.0178,0.256,0.9131,-0.6248,-0.3375,-0.5808,0.41
19680112,0.0178,0.2048,0.8438,0.3147,0.2846,-0.1231,0.58
19680115,0.0178,-0.1549,0.4887,-0.1973,0.1344,-0.1976,0.32
19680116,0.0178,-0.5602,0.4299,0.0431,-0.1794,0.114,0.12
19680117,0.0178,-0.0959,0.5707,0.3745,0.1859,0.3571,0.52
19680118,0.0178,-0.0076,0.5994,0.119,0.0959,0.5026,0.74
19680119,0.0178,-0.3463,-0.0372,0.2005,0.4462,0.4189,-0.13
19680122,0.0178,-1.3781,-0.1921,-0.003,-0.1659,0.4916,-0.92
19680123,0.0178,-0.5055,-0.1699,-0.0264,0.2057,0.146,0.27
19680124,0.0178,-0.4121,0.3887,0.4192,0.0314,-0.0435,-0.14
19680125,0.0178,0.0446,-0.1702,0.147,-0.131,-0.0837,0.23
19680126,0.0178,0.2104,0.5837,0.2579,0.0427,0.3108,0.47
19680129,0.0178,-0.1658,-0.2821,0.396,-0.0209,0.2249,-0.32
19680130,0.0178,-0.5563,-0.484,-0.0423,-0.8424,-0.0737,-0.85
19680131,0.0178,-0.8248,-0.3893,0.3795,-0.23,-0.0205,-1.18
19680201,0.0202,0.2901,-0.2996,0.1769,-0.1236,-0.1642,-0.24
19680202,0.0202,-0.3349,0.1715,0.0657,-0.19,0.516,-0.36
19680205,0.0202,-0.4653,-0.3994,0.1693,-0.3076,0.5109,-0.38
19680206,0.0202,0.0718,-0.2018,0.1036,0.0314,0.0298,-0.06
19680207,0.0202,0.1467,0.0966,0.1951,-0.1029,0.5877,0.28
19680208,0.0202,-1.4147,-0.8197,0.4352,-0.3375,0.3788,-1.62
19680209,0.0202,-1.1922,-0.5636,0.5062,-0.3165,-0.0258,-0.68
19680213,0.0202,-1.0485,-0.4984,0.1275,-0.1037,0.3508,-0.6
19680214,0.0202,1.2524,0.0334,-0.1259,0.5884,-0.2207,1.61
19680215,0.0202,0.2379,0.5299,0.027,0.0439,0.3275,0.17
19680216,0.0202,-0.3963,0.0726,0.5441,0.0795,0.2104,-0.23
19680219,0.0202,0.351,0.0369,0.0966,0.5219,0.2645,0.66
19680220,0.0202,0.6229,0.3869,-0.0546,0.6076,0.1172,0.47
19680221,0.0202,0.4163,0.1384,-0.4428,-0.0359,0.0097,-0.03
19680223,0.0202,-0.483,-0.1574,0.1411,-0.1139,0.52,-0.43
19680226,0.0202,-0.7896,-0.2374,0.1905,-0.2719,0.2289,-0.53
19680227,0.0202,0.4021,-0.0137,-0.3659,0.1898,-0.3592,0.49
19680228,0.0202,-0.5371,0.241,0.4797,-0.1271,0.4075,-0.37
19680229,0.0202,-0.8808,-0.1487,0.5263,-0.4097,-0.1198,-0.83
19680301,0.0189,-0.4464,-0.5684,0.3614,-0.1838,0.0164,-0.71
19680304,0.0189,-1.5539,-0.6458,0.8835,-0.4347,0.1833,-1.66
19680305,0.0189,-0.4223,-1.1235,-0.2899,-0.139,0.2127,0.1
19680306,0.0189,1.7963,0.6614,-0.3415,0.2628,0.1224,1.74
19680307,0.0189,-0.161,0.5153,-0.1013,0.1423,0.0348,0.14
19680308,0.0189,-0.1009,-0.274,0.0807,0.0041,-0.0513,-0.12
19680311,0.0189,1.3509,0.2316,-0.6272,0.4146,-0.1219,1.11
19680312,0.0189,0.1824,0.2355,-0.3823,0.3915,-0.0351,0.3
19680313,0.0189,-0.1835,0.4787,0.1568,0.3071,0.213,0.04
19680314,0.0189,-2.0892,-0.802,0.6589,-0.3582,0.0329,-0.81
19680315,0.0189,0.7664,-0.5849,-0.3698,0.4405,-0.2679,0.66
19680318,0.0189,0.6458,0.2181,-0.5123,0.4843,0.1332,0.64
19680319,0.0189,-0.6393,0.2939,0.1302,-0.0964,-0.1945,-0.41
19680320,0.0189,-0.0763,-0.3336,-0.2367,0.0183,0.3559,0.42
19680321,0.0189,-0.8146,-0.2273,0.0292,-0.4355,-0.0905,-0.41
19680322,0.0189,0.0062,-0.3427,0.2569,0.155,0.281,0.28
19680325,0.0189,-0.1259,-0.1802,-0.1181,0.0806,0.1491,0.17
19680326,0.0189,0.6625,0.0822,-0.3128,0.2787,-0.0621,0.41
19680327,0.0189,0.8529,0.1785,-0.3865,0.5378,-0.239,0.39
19680328,0.0189,-0.0807,0.102,0.179,-0.086,0.2283,0.16
19680329,0.0189,0.7026,-0.0321,-0.1584,-0.1077,0.2752,0.44
19680401,0.0213,2.3799,-0.5777,-0.3895,0.5124,-0.2805,0.3
19680402,0.0213,0.2034,-0.0982,-0.0596,0.1263,-0.1084,0.43
19680403,0.0213,0.8726,-0.2023,-0.0869,-0.0369,-0.0309,0.35
19680404,0.0213,0.4609,-0.1276,-0.1083,0.3469,-0.0212,-0.47
19680405,0.0213,-0.5372,0.4897,-0.2047,-0.0793,-0.2091,-0.12
19680408,0.0213,1.7345,-0.0674,-0.4555,-0.1408,-0.4322,0.56
19680410,0.0213,0.7293,0.4764,-0.1717,0.0587,0.3479,-0.05
19680411,0.0213,0.9476,0.4157,-0.288,-0.2348,-0.0693,0.49
19680415,0.0213,0.2008,0.5436,0.2482,0.4738,-0.3085,0.3
19680416,0.0213,0.1483,0.5823,-0.1605,-0.0629,-0.6243,0.2
19680417,0.0213,0.3035,0.6255,-0.2351,-0.4607,-0.1379,-0.13
19680418,0.0213,0.3049,0.5054,-0.0712,0.0654,-0.0518,-0.47
19680419,0.0213,-1.2309,0.2014,-0.02,0.5661,0.4052,0.16
19680422,0.0213,-0.4777,0.3225,-0.055,0.2427,-0.0367,0.59
19680423,0.0213,1.2791,0.0592,-0.018,0.7494,-0.0905,1.2
19680424,0.0213,0.2749,0.5593,-0.0372,0.4269,-0.3239,0.19
19680425,0.0213,0.3401,0.3144,0.2974,0.4746,0.48,0.6
19680426,0.0213,0.3334,0.3924,0.211,0.3383,-0.0006,0.3
19680429,0.0213,0.3017,0.1859,-0.2949,0.0503,-0.0218,0.51
19680430,0.0213,0.143,0.1964,-0.4379,-0.2258,-0.1257,0.34
19680501,0.0212,0.3226,0.0671,-0.2598,-0.0723,-0.0888,0.1
19680502,0.0212,0.6188,-0.1184,-0.1386,0.1958,-0.0312,0.31
19680503,0.0212,0.075,-0.11,0.3575,0.3509,0.0014,-0.01
19680506,0.0212,-0.1792,0.3806,0.062,-0.0518,-0.0065,0.2
19680507,0.0212,0.5698,0.2504,0.1028,-0.0752,-0.0843,0
19680508,0.0212,0.06,0.2331,-0.3019,0.0757,0.0404,0.13
19680509,0.0212,-0.5189,0.0907,0.2008,0.2712,-0.0505,-0.16
19680510,0.0212,0.336,0.8631,-0.3701,-0.1543,-0.1566,0.08
19680513,0.0212,-0.1684,0.6552,0.0934,0.2282,0.2447,-0.05
19680514,0.0212,-0.0689,0.083,-0.0061,-0.1795,0.2443,-0.07
19680515,0.0212,-0.0594,0.286,-0.0007,0.3525,0.0924,-0.15
19680516,0.0212,-0.4433,0.332,0.0124,0.0616,0.5608,-0.39
19680517,0.0212,-0.5911,0.4419,0.165,-0.2221,-0.2122,-0.34
19680520,0.0212,-0.4682,0.2186,0.2023,0.1573,-0.0186,0.25
